episode,MADDPG_reward,MADDPG_latency,MADDPG_energy,MADDPG_completion_rate,LLM_MADDPG_reward,LLM_MADDPG_latency,LLM_MADDPG_energy,LLM_MADDPG_completion_rate,LLM_only_reward,LLM_only_latency,LLM_only_energy,LLM_only_completion_rate
49,0.1132,13.90666546862847,1.0764,0.4185,0.4,15.552834941461047,1.0822,0.6891,0.5123,7.3539,0.7566,0.6723
50,0.0187,14.768430338830354,1.0593,0.4439,0.3108,14.999469705643111,1.0496,0.6507,0.6264,7.6954,0.7824,0.7554
51,0.1129,12.240328532193367,1.0641,0.4707,0.3772,14.515499056210428,1.0647,0.6808,0.621,7.6558,0.7492,0.7625
52,0.0812,13.924711942869349,1.075,0.4465,0.353,14.495950318590413,1.0994,0.7078,0.5099,7.6618,0.8358,0.7195
53,0.0682,15.756635664582298,1.0811,0.4184,0.3545,13.513217264689741,1.0712,0.7055,0.5952,7.4174,0.8163,0.7768
54,0.1264,14.803078497726036,1.0894,0.5005,0.3137,14.830989683929579,1.049,0.6328,0.5144,7.8426,0.7514,0.6877
55,0.1454,13.279894124834003,1.0796,0.5007,0.2495,15.739796196863404,1.057,0.6269,0.6536,7.7153,0.7882,0.7708
56,0.141,12.761346764928296,1.0881,0.4857,0.2581,15.35364731463092,1.0903,0.6242,0.6542,7.3827,0.7582,0.7771
57,0.0614,13.236312810709467,1.0922,0.4476,0.3882,15.994272334939865,1.0751,0.6273,0.6187,8.0347,0.8155,0.7532
58,0.0852,13.692578922011661,1.0753,0.4994,0.3417,14.96443718533617,1.0662,0.6945,0.6575,7.5732,0.7837,0.7409
59,0.1141,16.18370532858448,1.0608,0.4457,0.3324,13.880736677847796,1.0612,0.7107,0.6379,7.3484,0.7603,0.7644
60,0.143,12.599471130072565,1.0768,0.4544,0.3141,14.490880442989674,1.0487,0.675,0.6409,7.4609,0.7905,0.806
61,0.0775,15.878032633835792,1.0894,0.427,0.3241,13.444849679631133,1.0776,0.6554,0.5969,7.3126,0.7601,0.7309
62,0.0906,14.35033686923278,1.0875,0.4844,0.4203,14.498464828616967,1.0876,0.7333,0.552,7.8879,0.8039,0.7184
63,0.049,12.598149901435043,1.0982,0.4364,0.3251,15.773261929847664,1.1,0.6711,0.537,7.8305,0.7851,0.7823
64,0.0448,15.134742582727723,1.0778,0.4076,0.2561,16.816331485474187,1.0882,0.6639,0.5556,7.7571,0.8497,0.7439
65,0.135,12.330957457254675,1.0661,0.4942,0.4035,16.30188990054048,1.0315,0.7081,0.6068,7.7107,0.764,0.7376
66,0.1592,15.693934378801833,1.0808,0.4831,0.3384,12.573842740779453,1.0832,0.6692,0.5294,7.854,0.8119,0.6892
67,0.0947,12.790161877669856,1.048,0.4612,0.3563,13.61275445585435,1.04,0.6773,0.544,7.5504,0.7708,0.7082
68,0.1428,14.585205808263451,1.068,0.4976,0.4679,16.349973449969294,1.0939,0.7289,0.5796,7.6755,0.8549,0.7017
69,0.1136,13.529961351507833,1.0662,0.453,0.3552,15.494210461320197,1.0483,0.6876,0.5396,7.4281,0.7724,0.7065
70,0.068,16.028413992487593,1.0742,0.4,0.378,15.166159302701063,1.0319,0.716,0.6001,7.549,0.7305,0.7737
71,0.1129,14.732291548787487,1.0779,0.4738,0.2764,14.730648999652828,1.039,0.6187,0.6569,7.6591,0.754,0.7949
72,0.1655,14.58401093088614,1.0661,0.4944,0.3447,14.22243419608963,1.0717,0.6874,0.6272,7.0,0.7792,0.7526
73,0.0943,14.985226975846249,1.0691,0.4411,0.4038,16.250563378675746,1.0886,0.7569,0.6133,7.439,0.8184,0.7686
74,0.1658,13.466752366458154,1.0433,0.5057,0.2533,14.44610419477098,1.0583,0.6089,0.5991,7.5918,0.759,0.7622
75,0.0,14.74015439106224,1.0789,0.4156,0.3772,15.336851911394833,1.0559,0.7054,0.583,7.5392,0.7644,0.7525
76,0.1315,14.957355580406512,1.0515,0.4244,0.3712,14.671273144214785,1.0361,0.6838,0.5317,7.4635,0.7198,0.7227
77,0.0979,15.031689113053991,1.0639,0.4614,0.368,14.472281060700396,1.0737,0.6583,0.6521,7.6537,0.814,0.7579
78,0.08,13.235450999625922,1.0592,0.4451,0.4387,14.387140052678436,1.0299,0.6883,0.5423,7.3991,0.7994,0.7328
79,0.0971,14.246281393324198,1.0591,0.4489,0.3904,13.910805575247288,1.0492,0.7081,0.5155,7.2926,0.7407,0.6968
80,0.0029,13.87253737920314,1.0809,0.4181,0.4714,13.462596154737366,1.0693,0.7128,0.6275,7.756,0.7514,0.7604
81,0.0819,13.852566829551296,1.1005,0.4024,0.2993,13.261375953359982,1.1,0.665,0.5299,7.7309,0.8183,0.7304
82,0.1073,14.737189047818097,1.0653,0.4,0.3792,12.953146196366108,1.0454,0.6914,0.5632,7.3924,0.7572,0.7598
83,0.1571,14.640320989669142,1.0865,0.4539,0.3765,15.31691880941035,1.0717,0.7225,0.5048,7.4974,0.7619,0.6911
84,0.0667,14.230985561293439,1.0441,0.4577,0.2966,14.519748655260596,1.0389,0.6319,0.5233,7.6715,0.7456,0.7177
85,0.053,13.986367669384911,1.0668,0.4198,0.4393,14.374716513600369,1.0641,0.7014,0.5294,7.5034,0.8297,0.7044
86,0.0661,14.406428761441724,1.0653,0.4335,0.536,13.557597599844243,1.0842,0.789,0.5092,7.5954,0.8187,0.6609
87,0.1292,13.361921974658163,1.058,0.5202,0.3729,13.889473371448027,1.0628,0.6814,0.6116,7.5669,0.8394,0.7837
88,0.1022,16.406354279099794,1.0462,0.4721,0.4104,14.392478024521333,1.0168,0.7215,0.6423,7.3975,0.7603,0.7806
89,0.0629,13.796503701027932,1.1097,0.4632,0.3818,14.901582129275518,1.1,0.7144,0.5635,7.565,0.8681,0.7115
90,0.1091,14.413492519133458,1.0974,0.4638,0.3269,14.050972635989721,1.0763,0.6913,0.6487,7.2527,0.8529,0.7822
91,0.0897,14.99835231962275,1.0443,0.4,0.2503,15.011344191783648,1.0516,0.6023,0.5363,7.5283,0.8321,0.7403
92,0.1282,11.776310702606333,1.0768,0.4713,0.3293,14.421217112581571,1.057,0.659,0.5553,7.4251,0.7487,0.7113
93,0.0523,14.125940418333915,1.107,0.4107,0.2822,13.632521853767281,1.1,0.6098,0.5256,7.3631,0.8337,0.7131
94,0.0685,14.810913621188027,1.0863,0.4209,0.4999,13.985475933776911,1.0548,0.7732,0.6055,7.1702,0.7956,0.7572
95,0.0649,15.671390802714242,1.1086,0.4487,0.3735,12.433985861977023,1.1,0.6843,0.5714,7.4416,0.8277,0.7097
96,0.016,14.32159695051052,1.0485,0.4,0.3584,15.962661374139348,1.0606,0.6364,0.6043,7.412,0.8021,0.7388
97,0.0944,16.835929241254572,1.0851,0.4392,0.4459,14.75562116942349,1.1,0.744,0.6295,7.2262,0.8651,0.7691
98,0.0922,14.377840061452128,1.083,0.4443,0.3062,15.968648955227827,1.0783,0.6693,0.5928,7.0707,0.8568,0.7494
99,0.0799,14.893159500941698,1.0575,0.4641,0.3321,14.456866251658566,1.023,0.6482,0.6067,7.0522,0.7989,0.7541
100,0.0684,14.705151116128823,1.094,0.4931,0.3917,14.367798149460285,1.0753,0.6924,0.659,7.3174,0.8498,0.8059
101,0.0146,15.16520733872248,1.0724,0.4,0.4601,12.97708105667418,1.0843,0.7414,0.5508,7.4328,0.8308,0.751
102,0.0587,15.710718719575453,1.0714,0.4377,0.4244,14.635886260173473,1.0563,0.7317,0.5611,7.7329,0.795,0.7373
103,0.0615,13.130242867741647,1.0615,0.4283,0.4079,14.012245079033496,1.0427,0.6929,0.622,7.3403,0.764,0.7397
104,0.0401,13.827190118456148,1.0854,0.4303,0.3973,13.706058620126836,1.091,0.7168,0.6039,7.0187,0.7942,0.7651
105,0.0683,14.32152721917716,1.0979,0.5063,0.4212,14.072820450014527,1.0998,0.7063,0.5304,7.3024,0.8552,0.6906
106,0.0931,13.46657197419754,1.0544,0.4207,0.4086,14.039846751865646,1.0643,0.7117,0.5639,7.5835,0.8334,0.7123
107,0.1591,12.613415094982354,1.0946,0.4805,0.3238,13.051830623303223,1.1,0.6676,0.5795,7.188,0.8488,0.7279
108,0.0815,14.600115749976204,1.0405,0.4808,0.4006,14.287420606998023,1.0375,0.6676,0.5713,7.542,0.8226,0.7201
109,0.0846,14.459834981771571,1.064,0.4618,0.3237,14.61272421612128,1.0464,0.649,0.5303,7.3506,0.7725,0.7228
110,0.069,15.528800961653534,1.071,0.4613,0.4061,14.536011163294745,1.079,0.6812,0.6572,7.4253,0.8042,0.7891
111,0.0,13.614074957258293,1.0712,0.4,0.3684,15.472020493484049,1.0465,0.6696,0.6296,7.6638,0.8093,0.7384
112,0.07,14.223054157902732,1.079,0.4663,0.5814,16.00516176104471,1.046,0.7963,0.5818,7.0,0.7472,0.753
113,0.0734,14.07329138783152,1.0452,0.4664,0.4026,16.118170829115947,1.0492,0.6873,0.6156,7.4598,0.7424,0.7576
114,0.181,14.556081394527734,1.0362,0.5174,0.3088,15.90373460880335,1.0276,0.6603,0.6525,7.2516,0.769,0.7413
115,0.0609,14.447966743463029,1.065,0.486,0.3995,15.51560138122661,1.0402,0.6798,0.5231,7.0876,0.7792,0.7601
116,0.0826,15.756659210081331,1.1055,0.4564,0.4471,15.988791489645834,1.0774,0.7176,0.5426,7.2494,0.7699,0.7172
117,0.067,15.667371294142955,1.0592,0.4508,0.5298,14.056299985601521,1.0507,0.7916,0.5923,7.597,0.7724,0.7346
118,0.0155,12.616044386532199,1.0814,0.4,0.3733,13.382444977063786,1.0842,0.672,0.6358,7.5159,0.8743,0.7518
119,0.1191,14.700624161344315,1.0455,0.4825,0.3058,13.421863812529866,1.019,0.6669,0.5062,7.6979,0.7938,0.6857
120,0.1011,13.529078652215837,1.0577,0.4679,0.4758,15.303681014548967,1.052,0.7115,0.6673,7.0812,0.7788,0.789
121,0.1025,13.477036823861665,1.0929,0.4782,0.3241,15.229366645436654,1.0693,0.6771,0.5773,7.4277,0.8064,0.7177
122,0.0256,15.524237402259574,1.07,0.4247,0.3924,13.381530917740262,1.0731,0.6803,0.5611,7.2316,0.7721,0.7272
123,0.1293,15.195365626575795,1.0505,0.4873,0.4071,14.654124051546443,1.0575,0.6907,0.5498,7.2289,0.8148,0.7001
124,0.0027,13.641820357847651,1.0604,0.4,0.4225,16.51938928152445,1.0323,0.73,0.5296,7.0,0.7688,0.7413
125,0.0919,13.002722347859033,1.0874,0.4721,0.478,14.54205500722646,1.0585,0.6959,0.6346,7.0665,0.8242,0.7707
126,0.1638,14.693461019116562,1.0623,0.5029,0.3842,14.59675022105687,1.0705,0.6888,0.6624,7.0,0.8108,0.7653
127,0.0204,14.446536796387516,1.0681,0.4041,0.4154,13.504898125453527,1.0765,0.7246,0.5703,7.0,0.7836,0.6865
128,0.0393,13.813640844311704,1.1059,0.404,0.436,15.074069994103846,1.1,0.6851,0.6619,7.0,0.8673,0.7569
129,0.0691,15.028296572945354,1.0571,0.4624,0.45,13.817912192042746,1.0279,0.7222,0.64,7.0152,0.7747,0.7497
130,0.0418,13.800429144470865,1.0765,0.4459,0.4489,13.891694313274645,1.082,0.7024,0.5818,7.0515,0.8506,0.727
131,0.0,14.121249511095924,1.0629,0.4,0.4752,15.260297000300273,1.0581,0.7251,0.6146,7.0293,0.7496,0.7907
132,0.0673,16.565840008013417,1.079,0.4085,0.5064,12.970241760107827,1.0755,0.755,0.5739,7.4035,0.8262,0.743
133,0.0164,12.899721447071302,1.0438,0.4471,0.4775,15.623295630131851,1.0324,0.7475,0.595,7.0137,0.7467,0.7438
134,0.0854,12.077581321083734,1.0786,0.4844,0.4846,12.938475888626513,1.0785,0.7508,0.5099,7.4869,0.8537,0.713
135,0.0228,13.630073933530579,1.0685,0.4734,0.3448,16.308728637478442,1.0653,0.6939,0.6184,7.0924,0.8433,0.7804
136,0.1339,14.06826161507968,1.0765,0.4334,0.4619,16.772595243286425,1.0648,0.7267,0.509,7.2866,0.7547,0.7195
137,0.029,13.246596009242312,1.0775,0.4105,0.4949,14.866738062893456,1.1,0.7364,0.6389,8.2437,0.8532,0.7876
138,0.0498,13.858097410893432,1.0951,0.4115,0.5152,14.341063302581345,1.0782,0.7649,0.6402,7.8314,0.7619,0.7692
139,0.101,13.945144243310658,1.0911,0.416,0.4187,14.734690814956688,1.0767,0.7291,0.5403,7.1274,0.8418,0.7362
140,0.0092,12.982168004396765,1.0788,0.407,0.424,13.267344218446915,1.0673,0.6993,0.555,7.0906,0.7583,0.6662
141,0.075,15.138572639338452,1.04,0.4512,0.433,15.958920630619392,1.042,0.7214,0.5818,7.263,0.7505,0.7602
142,0.1238,15.375128512028388,1.069,0.4724,0.5137,14.33709365134903,1.0425,0.7649,0.6014,7.161,0.7617,0.7459
143,0.0,13.786842864511417,1.0762,0.4,0.5516,15.14786500392502,1.0833,0.7764,0.5489,7.0429,0.8395,0.7098
144,0.0739,13.634172990503094,1.059,0.4597,0.4538,15.020903374496166,1.0746,0.7334,0.6007,8.1677,0.7537,0.7586
145,0.0776,15.901679756286782,1.0757,0.4168,0.549,14.930307872924896,1.0475,0.787,0.5506,7.2621,0.8043,0.7383
146,0.1014,14.38258031883242,1.0472,0.487,0.4973,15.014124983961839,1.0698,0.753,0.5094,7.5697,0.814,0.7593
147,0.0109,13.25941581120431,1.0869,0.4314,0.4831,13.425061971856508,1.0794,0.7412,0.5004,7.2158,0.8108,0.7047
148,0.0076,14.272994573418375,1.0675,0.4144,0.4802,14.777608136634411,1.03,0.7378,0.5172,7.2043,0.785,0.6987
149,0.0909,13.877618393221027,1.0766,0.4444,0.5504,14.2703342447097,1.0672,0.7936,0.6347,7.2784,0.7554,0.7663
150,0.0813,12.828234475431557,1.0579,0.4524,0.5242,14.772022643863242,1.07,0.7686,0.6634,7.725,0.8311,0.7936
151,0.0797,14.189302265031301,1.0385,0.4325,0.6639,14.500055768560555,1.0424,0.8523,0.5726,7.0,0.7694,0.6836
152,0.0846,14.441616173422474,1.0351,0.4665,0.4482,13.05050789891028,1.0095,0.7262,0.5872,7.143,0.8083,0.7499
153,0.039,12.074805654609923,1.0567,0.4587,0.5473,17.441622250344953,1.0532,0.7853,0.525,7.4293,0.7993,0.7321
154,0.0806,13.590723917762555,1.0804,0.4808,0.4773,14.724757294360005,1.0362,0.7486,0.5937,7.4581,0.781,0.7417
155,0.084,13.383371543907332,1.0642,0.4511,0.4567,14.843304674017507,1.086,0.7179,0.5246,7.0,0.7751,0.7078
156,0.0393,15.489459947255638,1.087,0.4589,0.52,15.547367313902859,1.1,0.7163,0.6039,7.3513,0.7901,0.7207
157,0.1561,13.700894561405155,1.0532,0.5021,0.5336,13.697392696216708,1.0409,0.7373,0.6587,7.0,0.7883,0.7615
158,0.0942,16.292522301949244,1.0821,0.4,0.7315,15.081474097849062,1.0657,0.8809,0.5333,7.3256,0.7504,0.7006
159,0.02,13.20431080230796,1.0375,0.4445,0.5176,14.746308060514222,1.0289,0.7688,0.63,7.3086,0.7565,0.7747
160,0.1039,13.910211992885671,1.0531,0.467,0.4546,15.596938536891788,1.0439,0.7273,0.504,7.0,0.8034,0.7181
161,0.0313,14.083494422897504,1.0877,0.4305,0.556,14.084730876141943,1.0892,0.7824,0.5638,7.4454,0.7884,0.7628
162,0.1115,13.773734831731574,1.0658,0.457,0.3948,14.356136782954394,1.0348,0.6854,0.5188,7.604,0.7549,0.7173
163,0.129,15.085381758330833,1.0301,0.5109,0.5368,12.935947612194049,1.0361,0.7553,0.5599,7.2442,0.8258,0.692
164,0.0408,12.622900227218079,1.1038,0.406,0.5475,15.706556833988218,1.0794,0.7686,0.5295,7.2937,0.8363,0.7437
165,0.122,13.517412799738452,1.0164,0.5045,0.6051,15.679649392690601,1.0318,0.817,0.5635,7.5639,0.8048,0.7063
166,0.0982,14.466249241366054,1.091,0.4343,0.6207,13.218727389404373,1.0558,0.8291,0.571,7.0482,0.7259,0.7351
167,0.1175,14.954960921589418,1.0585,0.4772,0.5204,13.885172196256567,1.0735,0.7661,0.5511,7.0616,0.762,0.7076
168,0.1669,15.548605492211289,1.0428,0.5347,0.5481,14.230479800202271,1.0497,0.7758,0.6116,7.1144,0.7786,0.7517
169,0.0715,16.72771228168174,1.098,0.48,0.508,14.989245474131637,1.0862,0.753,0.6562,7.292,0.8352,0.7924
170,0.0496,14.522025774572917,1.0774,0.4511,0.4857,14.17649390946649,1.0568,0.7358,0.5681,7.3072,0.8195,0.7396
171,0.0445,14.123067515087863,1.0768,0.4547,0.5892,15.640846535181119,1.0678,0.759,0.5327,7.2002,0.821,0.6984
172,0.0489,14.550082172654783,1.0577,0.4525,0.4813,16.20826041602126,1.0396,0.7563,0.546,7.2567,0.7385,0.7377
173,0.0832,15.247601448779832,1.0368,0.4395,0.5442,16.091234457728536,1.0448,0.7846,0.6452,7.2063,0.8451,0.8133
174,0.1031,14.14789023124702,1.0607,0.4749,0.5064,16.304993812022616,1.0576,0.7585,0.5972,7.2282,0.8061,0.7499
175,0.1013,13.538334706022523,1.0757,0.4679,0.6173,15.808750731049457,1.0628,0.8198,0.5774,7.1824,0.748,0.725
176,0.1272,13.498576377657404,1.0594,0.5037,0.7076,14.012122598165949,1.0711,0.8855,0.5254,7.197,0.796,0.732
177,0.0917,15.134707215321306,1.0383,0.4841,0.4931,13.820326501564063,1.0107,0.7373,0.5765,7.0,0.7137,0.7171
178,0.1577,15.489951655176858,1.0822,0.496,0.4571,14.692759361065372,1.0525,0.7341,0.5473,7.318,0.7741,0.7224
179,0.0815,13.76335449438007,1.0755,0.4466,0.5806,15.129698277235944,1.0509,0.7679,0.6603,7.0,0.8108,0.7696
180,0.217,13.472518305323883,1.079,0.5565,0.5929,15.712673245703531,1.0745,0.8278,0.6503,7.5188,0.7946,0.8118
181,0.1239,15.604867919520085,1.0493,0.4698,0.6095,13.735031728163884,1.022,0.8062,0.5143,7.2786,0.738,0.708
182,0.0584,12.922681816795683,1.0414,0.4636,0.5654,16.088787784968606,1.0359,0.7465,0.5878,7.3677,0.7867,0.7311
183,0.0499,14.054243011091835,1.073,0.4336,0.5849,14.473811365277154,1.0729,0.7857,0.5383,7.3302,0.7859,0.7088
184,0.121,14.432725927541899,1.0417,0.459,0.6269,13.862012934933164,1.0462,0.8368,0.5698,7.3613,0.7834,0.6798
185,0.0905,14.491342197020805,1.1011,0.4448,0.6762,15.665126900577404,1.0837,0.8512,0.6491,7.6634,0.8072,0.7674
186,0.1339,14.806921893290687,1.0853,0.4095,0.4686,14.556512748848647,1.061,0.7641,0.5897,7.1549,0.7635,0.7513
187,0.1242,12.87648053104897,1.0663,0.473,0.5817,15.723512247603054,1.061,0.7889,0.5568,7.1124,0.7769,0.7209
188,0.1009,14.283841151283987,1.0565,0.4765,0.6245,14.723759919983468,1.0403,0.8272,0.5353,7.4716,0.829,0.6951
189,0.0673,14.410417095497591,1.0414,0.5042,0.5472,15.134422456533734,1.0499,0.7803,0.6361,7.3471,0.8068,0.7837
190,0.0384,14.558102293919408,1.0527,0.4076,0.7345,13.58347095948286,1.0592,0.8735,0.6062,7.5298,0.7662,0.7529
191,0.0877,15.689999141190064,1.0881,0.4441,0.5706,16.821676331199228,1.062,0.7677,0.5796,7.6124,0.804,0.7831
192,0.1476,14.389463328488656,1.0638,0.4718,0.6139,15.2702479486841,1.0485,0.7518,0.537,7.2606,0.7702,0.7036
193,0.1199,15.373473428726578,1.0593,0.4527,0.6574,15.041538968449439,1.0394,0.8277,0.5568,7.6091,0.7498,0.7281
194,0.0554,15.597445083024715,1.0674,0.4478,0.5787,15.095736547175362,1.0406,0.7516,0.6632,7.2819,0.7916,0.7767
195,0.1204,14.131058991978957,1.0961,0.4625,0.4923,16.619482327944564,1.1,0.757,0.5884,7.5171,0.7993,0.7331
196,0.1311,15.188710983033989,1.0652,0.4606,0.593,14.557555273933753,1.0374,0.7889,0.5681,8.1266,0.7994,0.7518
197,0.0752,14.646950149099183,1.0567,0.4552,0.6964,13.162491277508453,1.0533,0.8332,0.5886,7.5453,0.7776,0.7442
198,0.1231,15.360855374859256,1.0772,0.4876,0.6021,13.901070571123235,1.0642,0.7855,0.6324,7.5186,0.8431,0.7697
199,0.1199,14.836822850985012,1.0816,0.4545,0.5677,16.583324148131183,1.0718,0.7852,0.5578,7.3178,0.7695,0.7302
200,0.067,15.338408560175033,1.0783,0.4675,0.6929,16.022386115407063,1.0633,0.8637,0.5304,7.2775,0.8107,0.7341
201,0.1357,13.306656528537133,1.0801,0.5231,0.606,16.18847898240363,1.0749,0.7977,0.5994,7.7004,0.7674,0.7842
202,0.146,15.443241682710005,1.0647,0.5054,0.5944,14.468522398776361,1.0537,0.7836,0.6131,7.4661,0.7332,0.7397
203,0.1706,13.790411030876774,1.0756,0.5159,0.6416,14.319215487044929,1.0938,0.8074,0.6212,7.7661,0.8579,0.758
204,0.1704,13.466580724547901,1.0567,0.445,0.6859,15.013065618844255,1.0716,0.8721,0.6499,7.4597,0.858,0.7846
205,0.062,14.746055674937095,1.0875,0.416,0.7995,14.358371016804952,1.0696,0.8989,0.5631,7.845,0.8425,0.74
206,0.0829,13.008642464164645,1.0795,0.4152,0.6914,14.436043043166924,1.0623,0.7964,0.5128,7.4073,0.7594,0.7256
